,stars,text,title,review_date,rating,clean_text,sentiment
168,5.0 out of 5 stars,"









  
  
    
  Samsung has been best in the SD card business. Evo series is one of the best range from Samsung.Read and write speeds are good with respect to the price and additionally it comes with adapter so it makes easier to make it work with laptop.I would recommend this SD card over any other brands.

  
",Top quality at reasonable price,Reviewed in India on 25 September 2018,5,Samsung have be good in the sd card business Evo series be of the good range from Samsung read and write speed be good with respect to the price and additionally it come with adapter so it make easy to make it work with laptop I would recommend this sd card over any other brand,pos
169,1.0 out of 5 stars,"









  
  
    
  This Card got corrupted after one year of use and all my pics/videos got vanished.I will never trust on Card Memory. Please keep a backup of all the data from the card as it can get corrupted at any time any day

  
",Data can gets corrupted,Reviewed in India on 15 April 2019,1,this Card get corrupt after year of use and all my pic video get vanish I will never trust on Card Memory please keep backup of all the datum from the card as it can get corrupt at any time any day,neg
170,5.0 out of 5 stars,"









  
  
    
  Good product in such a low price.  Reading and writing speed is awesome.  I have been using it since 2014.  But I have found no error or data corruption in it till date which is more common in other brand memory card.

  
",Best product,Reviewed in India on 25 March 2019,5,good product in such low price reading and write speed be awesome I have be use it since but I have find no error or datum corruption in it till date which be more common in other brand memory card,pos
171,5.0 out of 5 stars,"









  
  
    
  Samsung will never fail to impress their customers. Its perfect memory card for everyday use and some heavy task like storage for games. Although rated speed is 100 MBPS, it provides 20-30 MBPS Read speed and 10-15 MBPS write speed. Thats not much impressive.There's only one cons to this card that initialization/ detection is quite slow. I can't actually blame the technology though because error checking on a 64 gb storage will obviously be complex and time consuming.Overall, great shopping experience with amazon and Samsung.

  
",75% to the expectations but...,Reviewed in India on 11 December 2017,5,Samsung will never fail to impress their customer Its perfect memory card for everyday use and some heavy task like storage for game although rated speed be MBPS it provide MBPS read speed and MBPS write speed that not much impressive there be only con to this card that initialization detection be quite slow I can not actually blame the technology though because error check on gb storage will obviously be complex and time consume overall great shopping experience with amazon and Samsung,pos
172,5.0 out of 5 stars,"









  
  
    
  Samsung means quality. The SD card is very good & I've used it in two smartphones in last 2-3yrs. Good reading & writing speeds. Satisfied overall.I prefer this over Sandisk (already had a data corrupt error on Sandisk).

  
",Samsung means quality. A best in class SD card. I prefer this over sandisk,Reviewed in India on 16 December 2018,5,Samsung mean quality the sd card be very good I have use it in smartphone in last yrs good reading writing speed satisfied overall I prefer this over Sandisk already have data corrupt error on Sandisk,pos
173,1.0 out of 5 stars,"









  
  
    
  Do Not Buy Samsung Memory Cards They Are Waste Of Money Because After A Month My Memory Card Stopped Working And All data Is currupted i tried 3 more Samsung card they currupted as well

  
",Never buy Samsung Memory Card,Reviewed in India on 5 January 2019,1,do not buy Samsung memory card They be Waste of money because after month My memory card stop Working and all datum be currupte try more Samsung card they currupte as well,neg
174,5.0 out of 5 stars,"









  
  
    
  Samsung..my all time fav company for every electronic product....my phone my old memory card and new card...everything under samsung brand.... I always believe...nd I can say that my new 64 gb memory card is also gives me good experience..thanks Amazon nd Samsung

  
",Good product,Reviewed in India on 24 August 2020,5,Samsung my all time fav company for every electronic product my phone my old memory card and new card everything under samsung brand I always believe nd I can say that my new gb memory card be also give me good experience thank Amazon nd Samsung,pos
175,4.0 out of 5 stars,"









  
  
    
  Original Product. Slightly costly at eight hundred bucks but was urgently required for my Dashcam, so ordered.The additional full size adaptor delivered along with the SD Card makes transfer to laptop convenient.If not urgent, these items are better got during sale..

  
",ORIGINAL PRODUCT,Reviewed in India on 3 May 2019,4,Original Product slightly costly at buck but be urgently require for my Dashcam so ordered the additional full size adaptor deliver along with the SD Card make transfer to laptop convenient if not urgent these item be well get during sale,pos
176,3.0 out of 5 stars,"









  
  
    
  Not sure whether it is with the card or Android. Had to format the card since apps were either very slow or automatically were getting moved to device memory from SD cardNot particularly faster than other class10 memory cards and felt disappointed for paying a premium.

  
",Not particularly fast as claimed,Reviewed in India on 15 July 2020,3,not sure whether it be with the card or Android have to format the card since app be either very slow or automatically be get move to device memory from SD cardNot particularly fast than other class memory card and feel disappointed for pay premium,neg
177,5.0 out of 5 stars,"









  
  
    
  I purchased this at a price of 739rs in august. Its really a g8 memory card offered by samsung. Speed of this card is very good.And amazon deliver this memory card to me in a day.

  
",Best in market,Reviewed in India on 19 May 2019,5,I purchase this at price of rs in august Its really memory card offer by samsung speed of this card be very good and amazon deliver this memory card to me in day,pos
178,5.0 out of 5 stars,"









  
  
    
  ""Tharaamana porul""Unlike other brands Samsung offers exact storage as they advertised 64 gb cards have storage of 64 gb as in binary unit not as in SI unit .Very much satisfied with the shippment and delivery , as usual they are prompt.Definitely a kanna mooditu vaangalam product.And to top I got 20% cashback during prime day sale that's sugar on top. Got the product for 560₹ literally a perfect loot.

  
",Perfect ful 64 gb storage,Reviewed in India on 8 June 2019,5,Tharaamana porulUnlike other brand Samsung offer exact storage as they advertise gb card have storage of gb as in binary unit not as in SI unit Very much satisfy with the shippment and delivery as usual they be prompt definitely kanna mooditu vaangalam product and to top I get cashback during prime day sale that be sugar on top got the product for literally perfect loot,pos
179,5.0 out of 5 stars,"









  
  
    
  It's fast read and write for movies and music videos, I now have 2 each for both my phones. Got them at great prices. Packaging and shipping was good. Once again- Love the DELHivery team, you guys are awesome.

  
","Okay guys, 1- it's Samsung,2-it's an EVO,3-64gb.",Reviewed in India on 4 December 2018,5,It be fast read and write for movie and music video I now have each for both my phone get them at great price packaging and shipping be good once again love the delhivery team you guy be awesome,pos
180,4.0 out of 5 stars,"









  
  
    
  Any Samsung product especially in the SDXC memory card segment is top notch. This 128 GB SDXC memory card is not an exception. Works like a gem in my RN5P. However this product like almost all others have a dynamic pricing strategy. I bought this for 3299/- in June. However during the Amazon Prime Sale from 16th July onwards, it dropped to 2799/-. Again at the time of writing this review it is 2999/-. Inspite of the fluctuations in price, this SDXC memory card is a great addition especially for those who take lots of pictures and videos.

  
",Works like a gem in my RN5P,Reviewed in India on 4 December 2018,4,any Samsung product especially in the SDXC memory card segment be top notch this GB SDXC memory card be not an exception work like gem in my RNP however this product like almost all other have dynamic pricing strategy I buy this for in June however during the Amazon Prime Sale from th July onwards it drop to again at the time of write this review it be Inspite of the fluctuation in price this SDXC memory card be great addition especially for those who take lot of picture and video,pos
181,2.0 out of 5 stars,"









  
  
    
  The quality is poor as compared to my old 32 gb memory card as there are too much lagging in read and write. Phone always stop working while operating as writing or reading through memory card. I really dislike and not suggest for buying this product to anyone.

  
",Worst product,Reviewed in India on 21 September 2017,2,the quality be poor as compare to my old gb memory card as there be too much lagging in read and write phone always stop work while operate as write or read through memory card I really dislike and not suggest for buy this product to anyone,neg
182,5.0 out of 5 stars,"









  
  
    
  Great product!!! And quick delivery. Out of 128 GB, ultimately I got 119 GB which is obvious. 9 GB is needed for its own setup. Everyone should understand this. Without knowing many people blame the product. And after inserting the memory card, it shows ""Blank card"" and after that one format is needed to erase and freshly start the card. This is a systematic procedure. Everyone should know these things also before blaming. Before doing these formalities don't blame. Thank you Amazon!

  
",Value for money,Reviewed in India on 11 December 2017,5,great product and quick delivery out of GB ultimately I get GB which be obvious GB be need for its own setup everyone should understand this without know many people blame the product and after insert the memory card it show blank card and after that format be need to erase and freshly start the card this be systematic procedure everyone should know these thing also before blame before do these formality do not blame thank you Amazon,pos
183,5.0 out of 5 stars,"









  
  
    
  Bought it for my Rpi3 board. Earlier had a Lexar card and pi was repeatedly crashing and finally card got corrupted. After having the OS on this card there are very no of crashes and its more reliable.

  
",A card with good Random R/W speed which is good for boards like Rpi3 where OS runs on the SD card itself.,Reviewed in India on 28 October 2018,5,buy it for my Rpi board early have Lexar card and pi be repeatedly crash and finally card get corrupt after have the os on this card there be very no of crash and its more reliable,neg
184,4.0 out of 5 stars,"









  
  
    
  Super quality memory card mb speed is very nice really I loved it super Samsung memory cards is good quality super I'm saticify for this product

  
",I like it,Reviewed in India on 24 August 2019,4,super quality memory card mb speed be very nice really I love it super samsung memory card be good quality super I be saticify for this product,pos
185,5.0 out of 5 stars,"









  
  
    
  Good value for money and very convenient. I actually bought this to test it on my Dslr.I was doubtful if the adapter is good enough to give fast transfer speed and it worked perfectly. I tested by clicking pictures and shooting HD and 4k quality videos and everything was perfect on card.

  
",Good performance on dslr,Reviewed in India on 14 September 2017,5,good value for money and very convenient I actually buy this to test it on my Dslr I be doubtful if the adapter be good enough to give fast transfer speed and it work perfectly I test by click picture and shoot hd and quality video and everything be perfect on card,pos
186,5.0 out of 5 stars,"









  
  
    
  For better performance always use external memory cards with higher speed. this has a transfer speed of 100Mbps. greater the speed more will be the speed pf transfer of files as well as the performance of the equipment.i personally prefer samsung for micro SD cards especially samsung eve plus.Value for money product with high durability.

  
",strongly suggest this product,Reviewed in India on 7 July 2018,5,for well performance always use external memory card with high speed this have transfer speed of mbps great the speed more will be the speed pf transfer of file as well as the performance of the equipmenti personally prefer samsung for micro SD card especially samsung eve plus value for money product with high durability,pos
187,1.0 out of 5 stars,"









  
  
    
  Do not buy this product. Within two year the SD Card stopped working and showing disk is write protected message.The SD Card was in only one device (Android Mobile) and started problem.Tried all the resolution steps available online but nothing worked.I tried Samsung customer care and there is no direct support for memory cards... But they are cheating by saying 10 years warranty support.

  
",Stopped working within two years and no support from Samsung,Reviewed in India on 27 June 2019,1,do not buy this product within year the SD Card stop work and show disk be write protect message the SD Card be in only device Android Mobile and start problem try all the resolution step available online but nothing work I try Samsung customer care and there be no direct support for memory card but they be cheat by say year warranty support,neg
188,4.0 out of 5 stars,"









  
  
    
  A fairly good buy for ₹699. Packaging included a SD adapter along with the MicroSD card.Speeds during read were as high as 85MBps which is good for the price. Write speeds were sustained at around 19MBps during large file transfers.The card does suffer speed drops to speeds as low as 1MBps during multiple small file transfers which is understandable. Overall, given the price point, it's a good card for multimedia usage.

  
",A card for speed on a budget,Reviewed in India on 31 May 2020,4,fairly good buy for Packaging include sd adapter along with the MicroSD card speed during read be as high as mbps which be good for the price Write speed be sustain at around mbps during large file transfer the card do suffer speed drop to speed as low as MBps during multiple small file transfer which be understandable overall give the price point it be good card for multimedia usage,pos
189,5.0 out of 5 stars,"









  
  
    
  Using this for Dashcam, No jerk and loss of frames. It can store about 9 hours of full HD(1080p) conent.also using same in Mijia 4k action cam, the performance was good @ 30fps, no loss of frames.

  
",High speed card,Reviewed in India on 9 September 2019,5,use this for Dashcam no jerk and loss of frame It can store about hour of full HDp conentalso use same in Mijia action cam the performance be good fps no loss of frame,pos
190,5.0 out of 5 stars,"









  
  
    
  I got this card in lightening deal at Rs 2599/- I am using this card for more than a month and have not faced any problem. The only issue is that I could not register it for warranty on Samsung website. When I tried to register a message appeared that serial number does not exist/match with their records.

  
",Good Product,Reviewed in India on 11 December 2017,5,I get this card in lighten deal at I be use this card for more than month and have not face any problem the only issue be that I could not register it for warranty on Samsung website when I try to register message appear that serial number do not exist match with their record,pos
191,5.0 out of 5 stars,"









  
  
    
  Good product... Nyce transfer speed.Most importantly the main sd card is not made in china, it is made in philippines... Just the sd card adapter is made in china...(Refer to photos for detailed images)

  
",Recommended...,Reviewed in India on 31 July 2018,5,good product Nyce transfer speed most importantly the main sd card be not make in china it be make in philippine just the sd card adapter be make in china Refer to photo for detailed image,pos
192,4.0 out of 5 stars,"









  
  
    
  Nice product wanted a 128gb but wasnt available at the time it is fast enough i mounted it as internal storage on my moto g4plus and phone works perfectly no slow down or extra geating affect due to the high write speed it provides.Satisfied with the product.

  
",Perfect for casual use to use as internal storage as well.,Reviewed in India on 23 October 2017,4,nice product want gb but be not available at the time it be fast enough mount it as internal storage on my moto gplus and phone work perfectly no slow down or extra geating affect due to the high write speed it provide satisfied with the product,pos
193,2.0 out of 5 stars,"









  
  
    
  Memory card is good. But the came brought on October 2018  is working after December .It has issue in wireless accessibility. Before i was able to access camera . Not  camera Wifi only connecting near by

  
",Shiju Joy,Reviewed in India on 2 July 2020,2,memory card be good but the come bring on October be work after December It have issue in wireless accessibility before be able to access camera not camera Wifi only connect near by,pos
194,5.0 out of 5 stars,"









  
  
    
  AWESOME..ITS GRADE 3 AND ITS WRITING SPEED IS VERY GOOD..write speed via Adapter used directly in computer gives a writing speed maximum of 57.1Mbps..Average speed is 52 mbps..Much faster than other according to price

  
",WRITING SPEED IS 57.1MBPS..AWESOME,Reviewed in India on 8 September 2020,5,AWESOME its grade and its writing speed be very good write speed via Adapter use directly in computer give writing speed maximum of mbps average speed be mbp much fast than other accord to price,pos
195,3.0 out of 5 stars,"









  
  
    
  After 4 Months use, I will not recommend Samsung EVO Plus Grade 3 Class 10 128GB MicroSDXC Memory Card with SD Adapter (MB-MC128GA/IN). This memory card is not perform as per specified and responsible for slowing down my phone. Each time when I restart my phone it takes almost 5-7 min to fully read card ( at present I stored only 40GB of data out of 128 GB on max). Apps stored in card are also behave unexpected and phone performance is down to hell. Thanks Amazon for providing such a bad product to your customers.

  
",Not up to mark and as per specification .,Reviewed in India on 6 January 2019,3,after month use I will not recommend Samsung EVO Plus Grade Class GB microsdxc Memory Card with SD Adapter MB MCGA in this memory card be not perform as per specified and responsible for slow down my phone each time when I restart my phone it take almost min to fully read card at present I store only GB of datum out of GB on max app store in card be also behave unexpected and phone performance be down to hell thank Amazon for provide such bad product to your customer,neg
196,5.0 out of 5 stars,"









  
  
    
  I think it is far better than it's rival sandisk 64 gb memory card. After considering the price it really outperform any sd card. Mainly perfect for seamless 4K video recording. It provides a class 10 / V3 memory card... Just unbelievable. Don't think twice 👍 just go for it 👌👌

  
",Best 64 gb memory card available in market,Reviewed in India on 31 May 2018,5,I think it be far well than it be rival sandisk gb memory card after consider the price it really outperform any sd card mainly perfect for seamless video recording It provide class memory card just unbelievable do not think twice just go for it dd,pos
197,5.0 out of 5 stars,"









  
  
    
  nice..this is my second purchase the first of which i made in 2017 the then it was rs 1300 and today i got it for 899..everything is the same except the price which is less and its nice..the first one i purchased is still running good..the packaging was excellent..lets see how the second one goes for now..u can trust the seller...my recommendations for the purchase..

  
",Five Stars,Reviewed in India on 10 December 2019,5,nice this be my second purchase the first of which make in the then it be rs and today get it for everything be the same except the price which be less and its nice the first purchase be still run good the packaging be excellent let see how the second go for now can trust the seller my recommendation for the purchase,pos
198,5.0 out of 5 stars,"









  
  
    
  Good product by Samsun...but it shows only 119 gb of space in it. Also it's reading and writing speed is not as given in description..in gives a approx speed of 19 mbps....but overall its a UHD-3 class 10 sd card by Samsung...

  
",Nice product,Reviewed in India on 4 December 2018,5,good product by Samsun but it show only gb of space in it also it be read and write speed be not as give in description in give approx speed of mbp but overall its UHD class sd card by Samsung,pos
199,3.0 out of 5 stars,"









  
  
    
  I got this product well below the price offered by other websites incl. local shops. Products seems to be okay.

  
",I got this product well below the price offered by ...,Reviewed in India on 4 December 2018,3,I get this product well below the price offer by other website incl local shop product seem to be okay,pos
200,5.0 out of 5 stars,"









  
  
    
  Its giving me speeds upto 16-19 MBPS write speed on USB 2.0. comes wih Ex-fat by default system reported, so I Formatted the Card with Fat32 for better portability but limitation which can only take a single file upto 3.98 GB buton ex-fat there is no such limitation on single File Size.

  
",Samsung EVO 64GB,Reviewed in India on 25 November 2019,5,Its give me speed upto MBPS write speed on usb come wih Ex fat by default system report so I format the card with Fat for well portability but limitation which can only take single file upto GB buton ex fat there be no such limitation on single File Size,neg
201,4.0 out of 5 stars,"









  
  
    
  Samsung is a know name in sd cards. The price is reasonable and this 64gb sd card solves your requirement for usage in mobiles or any other devices. It is fast and works well. Surely recommended. No issues so far. Gives good amount of storage as described.

  
","Perfect, the name says it all.",Reviewed in India on 21 January 2020,4,Samsung be know name in sd card the price be reasonable and this gb sd card solve your requirement for usage in mobile or any other device It be fast and work well surely recommend no issue so far give good amount of storage as describe,pos
202,1.0 out of 5 stars,"









  
  
    
  Very bad quality i used it for two months and removed from the phone and suddenly it fell down and by chance my feet crossed over it and it broken off and i can't recover my data what should i do now ???? What tell how will my data recover for that purpose i bought it and this is very bad quality improve it so that other customers do face this problem.

  
",Bad quality,Reviewed in India on 11 December 2017,1,very bad quality use it for month and remove from the phone and suddenly it fall down and by chance my foot cross over it and it break off and can not recover my datum what should do now what tell how will my data recover for that purpose buy it and this be very bad quality improve it so that other customer do face this problem,neg
203,4.0 out of 5 stars,"









  
  
    
  Packaging: good.Storage speed: as expected, fast.SD Adapter: included.Value for money: yes.I'm giving it 4 stars because it didn't fit in the sd tray of my SAMSUNG Galaxy M30 had to do a little scrubbing to fit it in. That's kinda unexpected.

  
",Just as you expect,Reviewed in India on 21 July 2019,4,packaging good storage speed as expect fast SD Adapter include value for money yes im give it star because it do not fit in the sd tray of my SAMSUNG Galaxy have to do little scrub to fit it in that be kinda unexpected,pos
204,1.0 out of 5 stars,"









  
  
    
  The item received was without adapterWithout original speed of 100 mbsWithout original logo of evoWithout the description as mentioned on the app

  
",Cheating not original item,Reviewed in India on 1 December 2019,1,the item receive be without adapterwithout original speed of mbsWithout original logo of evowithout the description as mention on the app,neu
205,5.0 out of 5 stars,"









  
  
    
  This is Original Samsung microsd card.Used it for samsung j2 and galaxy s7 (both powered by exynos processors.).Somehow sandisk cards dont work on exynos based phones.I read on internet that the solution for this is to use samsung evo cards.Sandisk card on galaxy s7 died within a month,but this card is still working as new after 1 year 6 months.same thing happened with samsung j2,sandisk card started giving problem after few months,so replaced it with samsung evo.

  
",Used it for exynos based phones.,Reviewed in India on 11 August 2020,5,this be original Samsung microsd card use it for samsung and galaxy both power by exynos processorsSomehow sandisk card do not work on exynos base phone I read on internet that the solution for this be to use samsung evo card sandisk card on galaxy die within month but this card be still work as new after year monthssame thing happen with samsung jsandisk card start give problem after few month so replace it with samsung evo,neg
206,5.0 out of 5 stars,"









  
  
    
  Using it for Samsung Gear 360 and the Evo Plus Grade 3 Class 10 is ultra fast in speed which can easily record 4k (Ultra HD) Video.

  
",Great Product.,Reviewed in India on 25 August 2020,5,use it for Samsung Gear and the Evo Plus Grade Class be ultra fast in speed which can easily record Ultra HD Video,pos
207,5.0 out of 5 stars,"









  
  
    
  Reading and Writing speed is fast enough but storage should be increase little more,gives only 119gb out of 128gb.

  
",119/128gb,Reviewed in India on 30 December 2017,5,reading and write speed be fast enough but storage should be increase little more give only gb out of gb,pos
208,4.0 out of 5 stars,"









  
  
    
  Works as expected. Delivered properly sealed and within expected time period. A bit expensive but worth it. No complaints, transfering speed is good( if you use Samsung adapter only)

  
","A bit expensive,but worth it.",Reviewed in India on 9 February 2018,4,Works as expect deliver properly seal and within expect time period bit expensive but worth it no complaint transfer speed be good if you use samsung adapter only,pos
209,5.0 out of 5 stars,"









  
  
    
  Awesome product in this segmentTrue competitor of SANDISK Ultra 64gb, and almost same speed in reading (100mbps) but beat sandisk in write speed (50mbps) though sandisk gives 30 mbps speed..Better u choose Samsung rather than Sandisk. It will cost little bit lower and provide better speed in writing..👍

  
","Best in Writing speed (50mbps, avrg)",Reviewed in India on 26 December 2019,5,awesome product in this segmenttrue competitor of SANDISK Ultra gb and almost same speed in read mbps but beat sandisk in write speed mbps though sandisk give mbps speed well choose Samsung rather than Sandisk It will cost little bit lower and provide well speed in writing,pos
210,1.0 out of 5 stars,"









  
  
    
  Beware, totally bogus product.Recently I bought one Samsung 64 GB data card and found it's capacity only 145 MB.Never expected such cheating.Amazon refused to act for refund.Do not buy at all.

  
",Bogus product,Reviewed in India on 10 December 2018,1,Beware totally bogus product recently I buy Samsung GB data card and find it be capacity only mbnever expect such cheating Amazon refuse to act for refund do not buy at all,neg
211,5.0 out of 5 stars,"









  
  
    
  This is a beast super fast transfer speed had bought it after lots of research online never had thought it would be this amazing quality is amazing the card works for my Asus ZenFone lite l1 it's value for money

  
",Buy without thinking best memory card,Reviewed in India on 11 December 2017,5,this be beast super fast transfer speed have buy it after lot of research online never have think it would be this amazing quality be amazing the card work for my Asus ZenFone lite it be value for money,pos
212,5.0 out of 5 stars,"









  
  
    
  Samsung Evo Plus 32 GB MicroSDHC Class 10 95 MB/s Memory Card. Equip your smartphone with the Samsung Evo Plus 32GB microSDHC memory card to store lots of songs, video clips, photos and e-books on it. ... Since this memory card is waterproof and temperature-proof, your digital files will be safe in it.

  
","Samsung EVO Plus Grade 1, Class 10 32GB MicroSDHC 95 MB/S Memory Card with SD Adapter (MB-MC32GA/IN)",Reviewed in India on 4 October 2017,5,Samsung Evo Plus GB microsdhc Class MB Memory Card equip your smartphone with the Samsung Evo Plus GB microSDHC memory card to store lot of song video clip photo and book on it since this memory card be waterproof and temperature proof your digital file will be safe in it,pos
213,1.0 out of 5 stars,"









  
  
    
  After opening the package there was no memory card inside it. I have cctv footage of above,what should I do?

  
",No product is delivered except empty wrapper.,Reviewed in India on 8 September 2020,1,after open the package there be no memory card inside it I have cctv footage of above what should I do,neg
214,5.0 out of 5 stars,"









  
  
    
  * High capacity of 64 GB is very usefull* Good transfer rate but nothing exceptional* Have been using it for a while and so far it's good and reliabelOverall : A good microSD card that you can definitely go for 👌

  
","High capacity, good performance.",Reviewed in India on 15 October 2018,5,high capacity of GB be very usefull good transfer rate but nothing exceptional have be use it for while and so far it be good and reliabeloverall good microSD card that you can definitely go for,pos
215,5.0 out of 5 stars,"









  
  
    
  It works perfectly with Go Pro 7 Black. Any cards with Class 10 classification would also work with GoPro Cameras. I am Happy with it.

  
",It works perfectly with GoPro,Reviewed in India on 28 January 2018,5,It work perfectly with Go Pro Black any card with Class classification would also work with GoPro Cameras I be happy with it,pos
216,5.0 out of 5 stars,"









  
  
    
  usable and handling it wellValuable product 👌Data transfer is very effective and friendly 👍Con.Price is different from the market.

  
",Valuable product 👌,Reviewed in India on 31 May 2019,5,usable and handle it wellvaluable product dData transfer be very effective and friendly dCon price be different from the market,pos
217,1.0 out of 5 stars,"









  
  
    
  card speed was ok for one year but now all of sudden card became dead and i lost a lot of important data. not worth the price i paid and highly unreliable

  
",Card rendered useless,Reviewed in India on 5 November 2018,1,card speed be ok for year but now all of sudden card become dead and lose lot of important datum not worth the price pay and highly unreliable,neg
218,1.0 out of 5 stars,"









  
  
    
  Dont even buy it. It got delivered without memory card only with adapter.

  
",One Star,Reviewed in India on 27 August 2020,1,do not even buy it It get deliver without memory card only with adapter,neu
219,4.0 out of 5 stars,"









  
  
    
  The write speed i got is around 15MB/Sec which is acceptable for a 20MB/sec write speed rated card. But i got only 30~40 MB/Sec in read speed which is too low for a 90MB/Sec read speed rated card.I do use usd 3.0 supported card reader with usb 3.0 usb port.

  
",Not happy about the read speed. Otherwise great product at the price,Reviewed in India on 12 July 2018,4,the write speed get be around mb Sec which be acceptable for mb sec write speed rate card but get only mb Sec in read speed which be too low for mb Sec read speed rate card I do use usd support card reader with usb usb port,pos
220,5.0 out of 5 stars,"









  
  
    
  I have done too much research prior buying this card and selected Samsung EVO U3 over U1 and Sandisc.It's is just 200rs difference in U1 AND U3 but you will get faster reading and writing speed and 4k recording in U3. I have tested it's speed and results are as expected.Morover it's approx 200 rs cheap on Amazon comparing other online retailers...Thanks Amazon

  
",Best performance,Reviewed in India on 4 December 2018,5,I have do too much research prior buy this card and select Samsung EVO over and Sandisc It be be just rs difference in and but you will get fast reading and write speed and recording in I have test it be speed and result be as expect Morover it be approx cheap on Amazon compare other online retailer thank Amazon,pos
221,3.0 out of 5 stars,"









  
  
    
  The speed is not very good actually. Did put this in a brand new Samsung Galaxy Note 8, and it failed to impress. Correction, it sucked in terms of speed. If this thing has some amazingly great discount, then, only then you go for this.A solid better tham nothing.

  
",Good Storage. Fair Price. Bad Performance,Reviewed in India on 11 December 2017,3,the speed be not very good actually do put this in brand new Samsung Galaxy Note and it fail to impress correction it suck in term of speed if this thing have some amazingly great discount then only then you go for this solid well tham nothing,pos
222,5.0 out of 5 stars,"









  
  
    
  At first Thanks Cloudtail India & Amazon both to make such deal . Obviously a Awesome product from Samsung . This is the cheapest price for a 32GB MMC . Speed is OK . Adapter Built quality is also good .I Love to buy from Amazon .One more thing , Why are you not using Speed Post for shipping as earlier . It provide the best service in my area . Thanks .

  
","Great deal,Amazon Deal",Reviewed in India on 8 June 2020,5,at first Thanks Cloudtail India Amazon both to make such deal obviously awesome product from Samsung this be the cheap price for GB MMC speed be ok Adapter build quality be also good love to buy from Amazon more thing why be you not use Speed Post for shipping as early It provide the good service in my area thank,pos
223,2.0 out of 5 stars,"









  
  
    
  Delivery was as mentioned.  The pack card containing item had wrinkles and after carefully cutting open the cover, i tested the micro SD.  It was not working and booked for return and replacement.  Promptly delivered new item within two days.  thanks to Amazon.  New one works well and  could write and read 4k video well.

  
",item damaged but replaced,Reviewed in India on 13 December 2018,2,Delivery be as mention the pack card contain item have wrinkle and after carefully cut open the cover test the micro SD It be not work and book for return and replacement promptly deliver new item within day thank to Amazon New work well and could write and read video well,pos
224,4.0 out of 5 stars,"









  
  
    
  Best at this price...but if your mobile phone or laptop ports/card readers are not fast then( less then USB 3.0 ) then read and write process is too slow( about 20-25mbps) but if it is fast then it gives read speed 72-75 Mbps and write 58-63mbps ..overall best at this price (rs 1890).

  
",Best at this price,Reviewed in India on 17 October 2017,4,good at this price but if your mobile phone or laptop port card reader be not fast then less then usb then read and write process be too slow about mbps but if it be fast then it give read speed Mbps and write mbps overall good at this price rs,pos
225,3.0 out of 5 stars,"









  
  
    
  The card is good but is detected as a slow one by the MOTO Z PLAY. I formatted it as the internal storage and got this message. I was surprised cos its a class 10. But its worth thr money if you are not going be doing very intensive work.

  
",Cool and good.,Reviewed in India on 3 March 2019,3,the card be good but be detect as slow by the MOTO PLAY I format it as the internal storage and get this message I be surprised cos its class but its worth thr money if you be not go be do very intensive work,pos
226,5.0 out of 5 stars,"









  
  
    
  A very good option for enhancing mobile memory to accommodate photos, videos, audio. The storage capacity is very apt for huge number of photos, videos and songs. I can be tension free now. It is value for money as now don't have to transfer photos and videos to laptop frequently. It is easy to install and work with.

  
",A very good option for enhancing mobile memory,Reviewed in India on 19 October 2018,5,very good option for enhance mobile memory to accommodate photo video audio the storage capacity be very apt for huge number of photo video and song I can be tension free now It be value for money as now do not have to transfer photo and video to laptop frequently It be easy to install and work with,pos
227,3.0 out of 5 stars,"









  
  
    
  So the only thing I didn't like about this product is that I'm skeptic about its durability because once randomly I couldn't see any of my content which was stored on SD, I thought it might have got corrupted and I was freaked out regarding  my data but a reboot was relief as after rebooting the phone brought everything back to normal, i'd recommend  anyone to buy from a physical store if available, else this isn't a bad option till now.

  
",Happiness with a bit of skepticism,Reviewed in India on 8 May 2019,3,so the only thing I do not like about this product be that I be skeptic about its durability because once randomly I could not see any of my content which be store on SD I think it may have get corrupt and I be freak out regard my datum but reboot be relief as after reboot the phone bring everything back to normal would recommend anyone to buy from physical store if available else this be not bad option till now,pos
228,5.0 out of 5 stars,"









  
  
    
  It was digitally write protected when I got it, I tried many things on my laptop, but all in vain. I inserted micro SD to mobile phone, formatted and now works fine with SD adapter.by the way it's totally worth the price.good.edit: speed screen shot added. write speed using 2.0 card reader.  when you use in SD card reader of your laptop it is even more.

  
",worth money,Reviewed in India on 4 October 2019,5,It be digitally write protect when I get it I try many thing on my laptop but all in vain I insert micro SD to mobile phone format and now work fine with SD the way it be totally worth the pricegoodedit speed screen shoot add write speed use card reader when you use in sd card reader of your laptop it be even more,neg
229,5.0 out of 5 stars,"









  
  
    
  Good and working great..  Read and write is faster as expected.  No doubt tge product is original aswell.  Micro SD card  came along with SD card case.

  
",Great product. Works faster!,Reviewed in India on 30 October 2019,5,good and work great read and write be fast as expect no doubt tge product be original aswell Micro SD card come along with SD card case,pos
230,5.0 out of 5 stars,"









  
  
    
  Came with an included adaptor. Genuine Samsung Hologram affixed.

  
","As expected, performance delivered !",Reviewed in India on 4 December 2018,5,come with an include adaptor Genuine Samsung Hologram affix,neu
